City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Denver,0,0,1,533,29.8,17.8,0.049,0.075,0.002,0.229,0.129,0.004,0.077,0.484,98.07055
Aurora,0,0,0,589,28.2,20.8,0.204,0.092,0.007,0.104,0.177,0.012,0.078,0.531,97.99491
Boulder,0,1,0,342,16.7,20.4,0.07,0.006,0.003,0.193,0.058,0,0.096,0.643,97.54109
Lakewood,0,0,0,451,20.4,22.1,0.086,0.004,0.004,0.038,0.109,0,0.029,0.816,97.00038
Denver,0,0,0,1038,49.2,21,0.075,0.007,0.006,0.065,0.097,0,0.028,0.798,96.74275
Parker,0,1,0,602,36.5,16.4,0.008,0.003,0.008,0.085,0.071,0,0.028,0.804,96.26818
Fort Collins,0,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,96.26318
Littleton,0,1,0,465,39,11.8,0.054,0.019,0,0.144,0.067,0,0.034,0.735,95.96855
Pueblo,0,1,0,269,11.4,23.4,0.048,0.004,0,0.03,0.32,0,0.03,0.617,95.78145
Thornton,0,1,0,648,35.9,18,0.032,0.008,0.005,0.185,0.091,0.002,0.043,0.667,95.42509
Denver,0,0,0,1076,48.8,22,0.141,0.073,0.003,0.042,0.14,0.001,0.064,0.677,95.34309
Denver,0,0,0,597,32.5,18.3,0.082,0.013,0,0.023,0.077,0,0.052,0.834,95.19882
Northglenn,0,0,0,722,38.5,18.7,0.083,0.015,0.003,0.157,0.111,0.008,0.04,0.666,94.82709
Fort Collins,0,0,0,774,37.7,20.5,0.068,0.012,0.003,0.103,0.045,0,0.034,0.804,94.36764
Greenwood Village,0,1,0,502,32.9,15.2,0,0.062,0.002,0.205,0.072,0,0.048,0.612,93.64473
Boulder,0,0,0,550,29.2,18.7,0.047,0.004,0.005,0.056,0.06,0,0.053,0.822,93.53964
Parker,0,1,0,669,39.1,17.1,0,0.016,0.001,0.057,0.135,0.001,0.051,0.738,93.30209
Evergreen,0,0,0,668,38.2,17.4,0.106,0,0.001,0.015,0.042,0.001,0.019,0.921,93.23345
Castle Rock,0,1,0,1549,88.3,17.5,0.024,0.008,0.001,0.085,0.076,0.001,0.039,0.791,93.01545
Colorado Springs,0,1,0,241,20.9,11.5,0.266,0.021,0,0.012,0.203,0,0.104,0.66,92.78764
Longmont,0,1,0,933,59.6,15.6,0.095,0.009,0.01,0.081,0.058,0.002,0.016,0.824,92.52882
Littleton,0,0,0,527,27.6,19,0.142,0.004,0.006,0.023,0.108,0.002,0.04,0.818,92.28713
Castle Rock,0,1,0,405,15.9,25.3,0.057,0.01,0.002,0.022,0.099,0,0.049,0.817,91.32514
Highlands Ranch,0,1,0,580,26.9,21.4,0.021,0.003,0.007,0.06,0.093,0,0.052,0.784,91.05982
Longmont,0,0,0,756,36.5,20.7,0.234,0.012,0.004,0.093,0.159,0,0.016,0.717,90.91591
Greenwood Village,0,0,0,1410,76.2,18.4,0.127,0.023,0.007,0.148,0.105,0.002,0.04,0.675,90.53527
Highlands Ranch,0,1,0,745,28,26.5,0.062,0.004,0.001,0.083,0.099,0.008,0.044,0.76,90.25455
Broomfield,0,1,0,704,21.5,32.6,0.109,0.011,0.011,0.023,0.108,0.001,0.047,0.798,90.18013
Greenwood Village,0,0,0,1208,64.8,18.6,0.142,0.019,0.004,0.084,0.148,0.001,0.038,0.706,90.16882
Golden,0,0,0,159,9.6,16.4,0.176,0,0,0.006,0.088,0,0.031,0.874,90.1675
Littleton,0,0,0,891,42.6,20.9,0.121,0.006,0.008,0.031,0.097,0,0.035,0.824,89.948
Colorado Springs,0,0,0,766,44.9,17,0.082,0.025,0.005,0.04,0.107,0.005,0.055,0.762,89.32991
Colorado Springs,0,1,0,285,19,14.9,0.218,0.007,0.007,0.035,0.091,0,0.025,0.835,89.18755
Superior,0,0,0,959,51.6,18.5,0.065,0.007,0.003,0.131,0.08,0,0.052,0.726,89.18109
Littleton,0,1,0,533,21.2,25.1,0.073,0.006,0,0.039,0.084,0.006,0.039,0.826,88.65767
Monument,0,1,0,895,50.4,17.7,0.068,0.012,0,0.023,0.096,0,0.057,0.811,88.11855
Highlands Ranch,0,1,0,859,38.5,22.2,0.054,0.008,0.005,0.079,0.085,0,0.043,0.78,87.93527
Fort Collins,0,0,0,1058,54.1,19.5,0.136,0.019,0,0.027,0.075,0,0.041,0.838,87.91427
Lafayette,0,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,87.89182
Castle Rock,0,1,0,738,30.4,24.2,0.057,0.001,0.003,0.024,0.098,0.003,0.049,0.822,87.73473
Colorado Springs,0,1,0,472,19.7,23.8,0.042,0.011,0,0.017,0.068,0.002,0.053,0.85,87.54325
Colorado Springs,0,0,0,629,38.1,16.4,0.157,0.025,0.006,0.033,0.1,0,0.049,0.785,87.46513
Eagle,0,0,0,158,10.2,15.4,0.019,0,0.013,0.006,0.076,0,0.038,0.867,87.34813
Parker,0,1,0,490,22.5,21.7,0.08,0.012,0.004,0.114,0.073,0,0.047,0.749,86.69364
Louisville,0,0,0,631,33.1,19,0.106,0.003,0.003,0.027,0.13,0,0.048,0.789,86.52945
Steamboat Springs,0,0,0,547,37.1,14.7,0.181,0.004,0,0.013,0.108,0.011,0.013,0.852,86.45164
Fort Collins,0,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,86.10764
Telluride,0,0,0,113,9.3,12.1,0.283,0,0.009,0.009,0.15,0,0.027,0.805,85.98875
Littleton,0,0,0,1429,66.4,21.4,0.034,0.006,0.004,0.067,0.08,0,0.044,0.799,85.79091
Crested Butte,0,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,85.49991
Littleton,0,1,0,624,39.2,15.9,0.21,0.014,0.003,0.026,0.237,0,0.019,0.7,85.20764
Windsor,0,1,0,422,26,16.1,0.111,0,0,0.031,0.081,0,0.031,0.858,85.16645
Mead,0,0,0,417,24.2,17.2,0.201,0,0,0.031,0.165,0.005,0.012,0.787,85.07455
Colorado Springs,0,1,0,487,35.4,13.7,0.055,0.014,0.002,0.018,0.082,0,0.045,0.838,84.8845
Louisville,0,0,0,887,46.7,18.9,0.115,0.012,0.002,0.118,0.09,0.001,0.067,0.709,84.72755
