District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
School District No. 1,0,0,0,333,19.5,17,0.03,0.018,0,0.033,0.072,0,0.069,0.808,97.42091,96.7371
"Cherry Creek, School District No. 5",0,0,1,533,29.8,17.8,0.049,0.075,0.002,0.229,0.129,0.004,0.077,0.484,97.17771,97.04777
"Aurora, Joint District No. 28",0,0,0,589,28.2,20.8,0.204,0.092,0.007,0.104,0.177,0.012,0.078,0.531,97.147,97.04238
Boulder Valley School District No. Re2,0,0,0,414,21,19.6,0.034,0.005,0,0.07,0.041,0,0.106,0.778,96.08436,95.6046
Jefferson County School District No. R-1,0,0,0,622,30,20.7,0.068,0.008,0.008,0.043,0.158,0,0.043,0.74,96.06529,96.24038
School District No. 1,0,0,0,391,20.5,19,0.107,0.015,0,0.02,0.105,0,0.028,0.831,95.78373,94.0155
"Cherry Creek, School District No. 5",0,0,0,606,31.7,19.1,0.038,0.003,0.003,0.051,0.058,0,0.013,0.871,95.44964,94.2962
Adams 12 Five Star Schools,0,0,0,722,38.5,18.7,0.083,0.015,0.003,0.157,0.111,0.008,0.04,0.666,95.28057,94.19885
Boulder Valley School District No. Re2,0,0,0,308,16,19.1,0.104,0,0,0.101,0.091,0,0.058,0.75,95.10245,94.6085
"Douglas County School District, No. Re 1",0,1,0,602,36.5,16.4,0.008,0.003,0.008,0.085,0.071,0,0.028,0.804,95.06021,95.19631
Cheyenne Mountain School District No. 12,0,0,0,333,18.7,17.7,0.039,0,0,0.039,0.09,0.003,0.06,0.808,94.9965,94.15331
Poudre School District R-1,0,0,0,641,31.7,20.2,0.034,0.002,0.002,0.053,0.055,0,0.039,0.85,94.81345,94.1324
School District No. 1,0,0,0,355,19.1,18.5,0.101,0.034,0.003,0.034,0.11,0,0.037,0.783,94.78727,94.7505
Boulder Valley School District No. Re2,0,0,0,556,29.1,19,0.034,0,0.004,0.119,0.056,0,0.052,0.77,94.77845,92.7269
"Littleton, School District No. 6",0,0,0,590,29,20.3,0.075,0.012,0.002,0.034,0.073,0,0.047,0.832,94.65691,94.3087
Poudre School District R-1,0,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,94.53171,94.67846
"Littleton, School District No. 6",0,0,0,650,29.7,21.8,0.058,0.002,0.003,0.023,0.069,0,0.031,0.872,94.46355,92.5111
"Cherry Creek, School District No. 5",0,0,0,542,28.6,18.9,0.065,0.018,0.002,0.124,0.066,0,0.061,0.729,94.45264,93.988
Poudre School District R-1,0,0,0,479,22.5,21.2,0.084,0.004,0.002,0.152,0.056,0,0.046,0.739,94.42391,94.3662
Poudre School District R-1,0,0,0,543,30,18.1,0.035,0.006,0,0.028,0.048,0.004,0.037,0.878,94.32973,94.9752
"Cherry Creek, School District No. 5",0,0,0,426,23.6,17.9,0.061,0.021,0,0.07,0.073,0.002,0.028,0.805,94.29182,94.7362
"Cherry Creek, School District No. 5",0,0,0,624,33.6,18.5,0.05,0.005,0.002,0.151,0.05,0,0.037,0.756,94.25918,93.7889
Jefferson County School District No. R-1,0,0,0,444,20.6,21.4,0.036,0.009,0.005,0.025,0.043,0,0.027,0.892,93.91267,90.77533
Jefferson County School District No. R-1,0,0,0,390,20.6,18.8,0.038,0.008,0,0.031,0.044,0.005,0.049,0.864,93.71921,93.71162
Jefferson County School District No. R-1,0,0,0,252,13.6,18.4,0.175,0.012,0.008,0.016,0.071,0,0.02,0.873,93.58818,93.6956
Mesa County Valley School District No. 51,0,0,1,143,7.2,19.7,0.063,0.014,0.007,0.028,0.077,0,0.028,0.846,93.34464,92.8421
"Cherry Creek, School District No. 5",0,0,0,541,29.7,18.1,0.068,0.02,0.007,0.116,0.092,0.002,0.046,0.715,93.08782,93.7763
Cheyenne Mountain School District No. 12,0,0,0,478,28,17,0.126,0.017,0,0.017,0.132,0,0.059,0.776,92.99764,90.74362
