Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014)
No,0,0,333,19.5,17,0.03,0.018,0,0.033,0.072,0,0.069,0.808,97.42091
No,0,1,533,29.8,17.8,0.049,0.075,0.002,0.229,0.129,0.004,0.077,0.484,97.17771
No,0,0,589,28.2,20.8,0.204,0.092,0.007,0.104,0.177,0.012,0.078,0.531,97.147
No,0,0,414,21,19.6,0.034,0.005,0,0.07,0.041,0,0.106,0.778,96.08436
No,0,0,622,30,20.7,0.068,0.008,0.008,0.043,0.158,0,0.043,0.74,96.06529
No,0,0,391,20.5,19,0.107,0.015,0,0.02,0.105,0,0.028,0.831,95.78373
No,0,0,606,31.7,19.1,0.038,0.003,0.003,0.051,0.058,0,0.013,0.871,95.44964
No,0,0,722,38.5,18.7,0.083,0.015,0.003,0.157,0.111,0.008,0.04,0.666,95.28057
No,0,0,308,16,19.1,0.104,0,0,0.101,0.091,0,0.058,0.75,95.10245
No,1,0,602,36.5,16.4,0.008,0.003,0.008,0.085,0.071,0,0.028,0.804,95.06021
No,0,0,333,18.7,17.7,0.039,0,0,0.039,0.09,0.003,0.06,0.808,94.9965
No,0,0,641,31.7,20.2,0.034,0.002,0.002,0.053,0.055,0,0.039,0.85,94.81345
No,0,0,355,19.1,18.5,0.101,0.034,0.003,0.034,0.11,0,0.037,0.783,94.78727
No,0,0,556,29.1,19,0.034,0,0.004,0.119,0.056,0,0.052,0.77,94.77845
No,0,0,590,29,20.3,0.075,0.012,0.002,0.034,0.073,0,0.047,0.832,94.65691
No,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,94.53171
No,0,0,650,29.7,21.8,0.058,0.002,0.003,0.023,0.069,0,0.031,0.872,94.46355
No,0,0,542,28.6,18.9,0.065,0.018,0.002,0.124,0.066,0,0.061,0.729,94.45264
No,0,0,479,22.5,21.2,0.084,0.004,0.002,0.152,0.056,0,0.046,0.739,94.42391
No,0,0,543,30,18.1,0.035,0.006,0,0.028,0.048,0.004,0.037,0.878,94.32973
No,0,0,426,23.6,17.9,0.061,0.021,0,0.07,0.073,0.002,0.028,0.805,94.29182
No,0,0,624,33.6,18.5,0.05,0.005,0.002,0.151,0.05,0,0.037,0.756,94.25918
No,0,0,444,20.6,21.4,0.036,0.009,0.005,0.025,0.043,0,0.027,0.892,93.91267
No,0,0,390,20.6,18.8,0.038,0.008,0,0.031,0.044,0.005,0.049,0.864,93.71921
No,0,0,252,13.6,18.4,0.175,0.012,0.008,0.016,0.071,0,0.02,0.873,93.58818
No,0,1,143,7.2,19.7,0.063,0.014,0.007,0.028,0.077,0,0.028,0.846,93.34464
No,0,0,541,29.7,18.1,0.068,0.02,0.007,0.116,0.092,0.002,0.046,0.715,93.08782
No,0,0,478,28,17,0.126,0.017,0,0.017,0.132,0,0.059,0.776,92.99764
No,0,0,637,30,21.2,0.055,0.003,0,0.042,0.064,0,0.019,0.871,92.97721
No,0,0,321,18.5,17.3,0.09,0.019,0.006,0.022,0.087,0.003,0.037,0.826,92.86943
No,0,0,572,31.5,18.1,0.112,0.012,0.002,0.084,0.063,0.002,0.028,0.809,92.66082
No,0,0,304,19.8,15.2,0.082,0.023,0.003,0.036,0.105,0,0.046,0.786,92.64818
No,0,0,610,30.8,19.7,0.051,0.01,0,0.084,0.075,0.002,0.03,0.8,92.55545
No,0,0,336,16.5,20.3,0.071,0.003,0.003,0.03,0.048,0,0.039,0.878,92.47955
No,0,0,397,20.9,18.9,0.191,0.01,0.008,0.003,0.118,0.003,0.023,0.836,92.29545
No,1,0,580,26.9,21.4,0.021,0.003,0.007,0.06,0.093,0,0.052,0.784,92.18507
No,0,0,414,20.7,19.9,0.118,0.039,0.007,0.123,0.092,0,0.082,0.657,91.95245
No,0,0,656,32.9,19.9,0.064,0.04,0.005,0.056,0.098,0.002,0.059,0.741,91.61709
No,0,0,294,16.8,17.4,0.18,0.007,0,0.01,0.078,0.003,0.051,0.85,91.48545
No,0,0,531,29,18.3,0.128,0.006,0.006,0.055,0.126,0,0.036,0.772,91.16836
No,0,0,488,26.9,18.1,0.203,0.027,0.004,0.092,0.072,0.002,0.07,0.734,91.08991
No,0,0,597,32.5,18.3,0.082,0.013,0,0.023,0.077,0,0.052,0.834,90.80443
No,0,1,396,21.4,18.4,0.338,0.013,0.005,0.02,0.49,0.003,0.013,0.457,90.79967
No,0,0,557,30.5,18.2,0.124,0.002,0,0.039,0.065,0.002,0.043,0.849,90.67764
No,0,0,341,19,17.9,0.065,0,0.003,0.044,0.035,0,0.056,0.862,90.58473
No,0,0,623,22.9,27.1,0.066,0.011,0.008,0.026,0.072,0.003,0.018,0.862,90.48791
No,0,0,295,16.8,17.5,0.214,0.031,0.003,0.01,0.088,0.003,0.054,0.81,90.378
No,0,0,764,30.6,24.9,0.037,0.003,0,0.024,0.064,0,0.018,0.891,90.367
No,0,0,361,23.7,15.2,0.166,0.011,0.003,0.036,0.111,0.003,0.036,0.801,90.29173
No,0,0,544,29.4,18.5,0.103,0.011,0,0.028,0.063,0.002,0.042,0.855,90.08364
No,0,0,511,27.9,18.3,0.061,0,0,0.023,0.074,0.002,0.027,0.873,90.05718
No,0,0,417,28,14.8,0.151,0.053,0,0.05,0.118,0,0.074,0.705,89.91264
No,1,0,465,39,11.8,0.054,0.019,0,0.144,0.067,0,0.034,0.735,89.82957
No,0,0,442,23.1,19,0.104,0.002,0,0.025,0.129,0,0.036,0.808,89.8265
No,0,0,405,21.3,19,0.099,0.007,0,0.047,0.079,0.002,0.059,0.805,89.82627
No,0,0,501,26.3,19,0.092,0.018,0.004,0.038,0.06,0,0.016,0.864,89.76945
No,0,0,959,51.6,18.5,0.065,0.007,0.003,0.131,0.08,0,0.052,0.726,89.68029
No,0,0,730,32.2,22.6,0.047,0.014,0.012,0.084,0.104,0.005,0.079,0.701,89.65955
No,0,0,365,15.4,23.5,0.145,0.003,0.003,0,0.047,0.003,0.027,0.918,89.59473
No,0,0,485,16.1,29.9,0.111,0.014,0,0.019,0.136,0.002,0.049,0.779,89.449
No,0,0,646,37.3,17.2,0.076,0.065,0.008,0.124,0.094,0,0.036,0.673,89.40564
