Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
No,1,0,241,20.9,11.5,0.266,0.021,0,0.012,0.203,0,0.104,0.66,98.43183
No,1,0,1036,51.6,20,0.039,0.003,0.003,0.056,0.052,0,0.03,0.856,98.13583
No,0,0,1038,49.2,21,0.075,0.007,0.006,0.065,0.097,0,0.028,0.798,97.533
No,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,97.02217
No,1,0,472,19.7,23.8,0.042,0.011,0,0.017,0.068,0.002,0.053,0.85,96.102
No,0,0,1076,48.8,22,0.141,0.073,0.003,0.042,0.14,0.001,0.064,0.677,95.26833
No,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,95.17167
No,0,1,69,1.2,54.3,0,0,0,0.029,0.174,0.014,0.043,0.739,94.34067
No,1,0,618,50.7,12.1,0.06,0.018,0,0.024,0.061,0,0.028,0.869,94.11717
No,1,0,745,28,26.5,0.062,0.004,0.001,0.083,0.099,0.008,0.044,0.76,93.5295
No,0,0,1014,56.2,18,0.081,0.001,0.002,0.016,0.052,0,0.023,0.906,93.26283
No,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,93.07233
No,0,0,1748,84.8,20.6,0.098,0.01,0.004,0.025,0.118,0.001,0.029,0.813,93.04783
No,0,0,1313,82.1,15.9,0.094,0.021,0.004,0.047,0.116,0.005,0.028,0.779,92.84767
No,0,0,2121,94.5,22.4,0.072,0.004,0.003,0.101,0.082,0,0.053,0.756,92.83517
No,0,0,1095,53.6,20.4,0.075,0.007,0.006,0.017,0.1,0.002,0.037,0.831,91.71683
No,0,0,1030,46.2,22.2,0.085,0.017,0.011,0.026,0.068,0,0.045,0.834,91.236
No,0,0,2094,107.3,19.5,0.087,0.011,0.002,0.038,0.064,0.001,0.03,0.853,91.04917
No,0,0,3507,175.6,19.9,0.106,0.03,0.003,0.104,0.114,0.002,0.033,0.714,90.89317
No,0,0,677,39.7,17,0.17,0.006,0.004,0.015,0.084,0,0.016,0.874,90.85867
No,1,0,499,40.1,12.4,0.481,0.238,0.008,0.034,0.357,0,0.064,0.299,90.70167
No,1,0,397,17.8,22.3,0.149,0.018,0.005,0.053,0.146,0,0.043,0.736,90.17217
Yes,0,0,60,9.9,6,0.283,0,0,0,0.1,0,0,0.9,90.165
No,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,89.9525
No,0,0,102,8.6,11.8,0.294,0,0.02,0,0.02,0,0.029,0.931,89.23567
No,0,0,1938,82.7,23.4,0.031,0.008,0.002,0.067,0.076,0.001,0.035,0.811,89.175
No,0,0,1313,56.8,23,0.215,0.008,0.004,0.069,0.19,0.005,0.016,0.707,89.0965
